group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Submission data	155	Tadhg MacMahon		"52.64641698823626, -9.271418338721034"	Clonderalaw Castle	Residence	Castle	Very certain	
Submission data	170	Maurice MacMahon		"52.64641698823626, -9.271418338721034"	Clonderalaw Castle	Residence	Castle	Very certain	
Submission data	171	Laurence MacNamara		"52.696672602478685, -8.812124229456206"	Bunratty Castle	Residence	Castle		
Submission data	172	Tadhg O'Beirne							
Submission data	173	Donal O'Conor Sligo							
Submission data	174	Cornelius O'Conor of Thomond						Very certain	
Submission data	175	Cornelius O'Dea		"52.91148123006832, -9.066378702380634"	Dysert O'Dea	Residence	Castle	Moderately certain	
Submission data	176	Ruaidhri O'Dowda		"54.2484568154653, -8.87357166666224"	Dunneill Castle	Residence	Castle	Very certain	
Submission data	177	[] O'Dunn		"53.19734368382633, -7.395264768246803"	Castlebrack	Residence	Castle		
Submission data	178	Dermot O'Flanagan							
Submission data	179	Tomaltach O'Gara							
Submission data	180	Odo O'Hanly							
Submission data	181	Shane O'Hara							
Submission data	141	Tadhg O'Hara							
Submission data	182	Odo O'Hehir							
Submission data	183	Donal O'Hehir							
Submission data	184	Iriel O'Lochlainn							
Submission data	185	Cristanus O'Mulrian						Very certain	
Submission data	186	Tiernan O'Rourke		"54.04985991824453, -7.700510175480083"	Cherry Island	Residence	Castle	Very certain	
Submission data	187	Eoghan O'Madden		"53.11405971470972, -8.16440534487539"	Port an Tulchain	Residence	Castle		
Marriage data	188	d. O'Dwyer							
Marriage data	189	Unknown O'Dwyer-1							
Marriage data	190	Unknown MacNamara-1							
Marriage data	191	d. O'Daly							
Marriage data	192	Unknown O'Daly-1							
Marriage data	193	Unknown MacNamara-2							
Marriage data	194	d. Turlough O'Conor-1							
Marriage data	195	Turlough mac Aodh O'Conor							
Marriage data	196	Cathal Og O'Conor							
Marriage data	197	Una O'Conor							
Marriage data	198	Manus mac Cu-Connacht O'Reilly							
Marriage data	199	Grainne O'Kelly							
Marriage data	201	Tadhg O'Brien							
Marriage data	202	Gormlaith O'Donnell							
Marriage data	203	Unknown O'Donnell-1							
Marriage data	204	Aedh O'Neill							
Marriage data	205	Mor O'Conor							
Marriage data	206	Unknown O'Conor-1							
Marriage data	207	Unknown O'Farrell-1							
Marriage data	208	d. Seoinin Burke							
Marriage data	209	Seoinin Burke							
Marriage data	210	Donnchadh Carrach O'Kelly							
Marriage data	211	Aedh mac Turlough O'Conor							
Marriage data	212	d. Turlough O'Conor-2							
Marriage data	213	Ferghal O'Reilly							
Marriage data	214	Dubog Maguire							
Marriage data	215	Aedh Maguire							
Marriage data	216	Cu-Connacht mac Philip MacMahon							
Marriage data	217	Fionnghuala O'Malley							
Marriage data	218	Domhnall Ruadh O'Malley							
Marriage data	219	Domhnall Cleirach O'Dowda							
Marriage data	220	Catherine O'Farrell							
Marriage data	221	Unknown O'Farrell-2							
Marriage data	222	Unknown O'Reilly-1							
Marriage data	223	Margaret Burke							
Marriage data	224	Walter Burke							
Marriage data	225	Aedh mac Feidlimidh O'Conor							
Marriage data	226	Derbail O'Donnell							
Marriage data	227	Unknown O'Donnell-2							
Marriage data	228	Aedh Ruadh Maguire							
Marriage data	229	Aiffric O'Reilly							
Marriage data	230	Brian O'Reilly							
Marriage data	231	Brian MacTiernan							
Marriage data	232	d. MacDonough							
Marriage data	233	Unknown MacDonough-1							
Marriage data	234	Mulroney O'Dowda							
Marriage data	235	d. O'Reilly							
Marriage data	236	Unknown O'Reilly-2							
Marriage data	237	d. Brian mac Aedh MacMahon							
Marriage data	238	Brian mac Aedh MacMahon							
Marriage data	239	Somairle Dubh mac John MacDonald							
Marriage data	240	Bevin Mageoghegan							
Marriage data	241	Unknown Mageoghegan-1							
Marriage data	242	Unknown Sionnach-1							
Marriage data	243	Derbail MacDermot							
Marriage data	245	Ualgarg O'Rourke							
Marriage data	246	Bebinn O'Rourke							
Marriage data	247	Tomaltagh MacDonough							
Marriage data	248	Dubchablach O'Reilly							
Marriage data	249	Philip O'Reilly							
Marriage data	250	Philip Maguire							
Marriage data	251	d. Manus MacMahon							
Marriage data	252	Manus MacMahon							
Marriage data	253	Gillapatrick MacCawell							
Marriage data	254	Joanna Cam MacCarthy							
Marriage data	255	Unknown MacCarthy-1							
Marriage data	256	Unknown MacNamara-3							
Marriage data	257	Barrduv O'Rourke							
Marriage data	258	Unknown O'Rourke-1							
